"category","id","kabupaten","kecamatan","kelurahan","nama_tempat","alamat","daya_tampung","koordinator","no_hp","dokumen","keterangan","lat","lon","created_at","updated_at","deleted_at"
"Dalam Observasi","278","KAB. PONOROGO","PULUNG","Munggung",""," ","","","","","Dirapatkan","-7.8644189","111.6304231","0000-00-00 00:00:00","2020-04-10 12:42:13","0000-00-00 00:00:00"
"Dalam Observasi","279","KAB. PONOROGO","PULUNG","Tegalrejo",""," ","","","","","Dirapatkan","-7.8874436","111.6286482","0000-00-00 00:00:00","2020-04-10 13:25:21","0000-00-00 00:00:00"
"Dalam Observasi","280","KAB. PONOROGO","PULUNG","Wotan",""," ","","","","","Dirapatkan","-7.8669799","111.6020812","0000-00-00 00:00:00","2020-04-10 14:03:12","0000-00-00 00:00:00"
"Dalam Observasi","281","KAB. PONOROGO","PULUNG","Bedrug",""," ","","","","","Dirapatkan","-7.888412","111.6462053","0000-00-00 00:00:00","2020-04-10 14:03:43","0000-00-00 00:00:00"
"Dalam Observasi","282","KAB. PONOROGO","PULUNG","Wagir Kidul",""," ","","","","","Dirapatkan","-7.8700071","111.6553354","0000-00-00 00:00:00","2020-04-10 15:01:13","0000-00-00 00:00:00"
"Dalam Observasi","283","KAB. PONOROGO","PULUNG","Bekiring",""," ","","","","","Dirapatkan","-7.8533456","111.6384449","0000-00-00 00:00:00","2020-04-10 15:38:14","0000-00-00 00:00:00"
"Dalam Observasi","284","KAB. PONOROGO","PULUNG","Pulung",""," ","","","","","Dirapatkan","-7.8692806","111.5843634","0000-00-00 00:00:00","2020-04-10 15:40:54","0000-00-00 00:00:00"
"Dalam Observasi","285","KAB. PONOROGO","PULUNG","Patik",""," ","","","","","Dirapatkan","-7.8761334","111.6175368","0000-00-00 00:00:00","2020-04-10 22:03:55","0000-00-00 00:00:00"
"Dalam Observasi","286","KAB. PONOROGO","PULUNG","Pulung Merdiko",""," ","","","","","Dirapatkan","-7.8813307","111.5972353","0000-00-00 00:00:00","2020-04-10 15:51:21","0000-00-00 00:00:00"
"Dalam Observasi","287","KAB. PONOROGO","PULUNG","Banaran",""," ","","","","","Dirapatkan","-7.8359351","111.6779399","0000-00-00 00:00:00","2020-04-10 12:32:16","0000-00-00 00:00:00"
"Dalam Observasi","288","KAB. PONOROGO","PULUNG","Plunturan",""," ","","","","","Dirapatkan","-7.8548786","111.6008652","0000-00-00 00:00:00","2020-04-10 16:07:21","0000-00-00 00:00:00"
"Dalam Observasi","289","KAB. PONOROGO","PULUNG","Singgahan",""," ","","","","","Dirapatkan","-7.8747012"," 111.6433402","0000-00-00 00:00:00","2020-04-10 16:15:56","0000-00-00 00:00:00"
"Dalam Observasi","290","KAB. PONOROGO","SOOKO","Jurug",""," ","","","","","Dirapatkan","-7.8984446","111.6610863","0000-00-00 00:00:00","2020-04-10 17:06:22","0000-00-00 00:00:00"
"Dalam Observasi","291","KAB. PONOROGO","SOOKO","Klepu",""," ","","","","","Dirapatkan","-7.9307289","111.6574837","0000-00-00 00:00:00","2020-04-10 12:35:23","0000-00-00 00:00:00"
"Dalam Observasi","292","KAB. PONOROGO","SOOKO","Sooko",""," ","","","","","Dirapatkan","-7.9047636","111.6515402","0000-00-00 00:00:00","2020-04-10 17:16:02","0000-00-00 00:00:00"
"Dalam Observasi","293","KAB. PONOROGO","SOOKO","Ngadirojo",""," ","","","","","Dirapatkan","-7.9282735","111.5926283","0000-00-00 00:00:00","2020-04-10 17:21:33","0000-00-00 00:00:00"
"Dalam Observasi","294","KAB. PONOROGO","SOOKO","Suru",""," ","","","","","Dirapatkan","-7.9121281","111.6252753","0000-00-00 00:00:00","2020-04-10 17:27:05","0000-00-00 00:00:00"
"Dalam Observasi","295","KAB. PONOROGO","SOOKO","Bedoho",""," ","","","","","Dirapatkan","-7.9211786"," 111.6565678","0000-00-00 00:00:00","2020-04-10 17:35:35","0000-00-00 00:00:00"
"Dalam Observasi","296","KAB. PONOROGO","NGEBEL","Ngebel",""," ","","","","","Dirapatkan","-7.7874626","111.6141053","0000-00-00 00:00:00","2020-04-10 17:59:58","0000-00-00 00:00:00"
"Dalam Observasi","297","KAB. PONOROGO","NGEBEL","Ngrogung",""," ","","","","","Dirapatkan","-7.8071421","111.5802228","0000-00-00 00:00:00","2020-04-10 18:04:58","0000-00-00 00:00:00"
"Dalam Observasi","298","KAB. PONOROGO","NGEBEL","Sahang",""," ","","","","","Dirapatkan","-7.8038687","111.6076742","0000-00-00 00:00:00","2020-04-10 18:11:26","0000-00-00 00:00:00"
"Dalam Observasi","299","KAB. PONOROGO","NGEBEL","Wagir Lor",""," ","","","","","Dirapatkan","-7.8131242","111.6120673","0000-00-00 00:00:00","2020-04-10 18:16:02","0000-00-00 00:00:00"
"Dalam Observasi","300","KAB. PONOROGO","NGEBEL","Gondowido",""," ","","","","","Dirapatkan","-7.8005662","111.6472264","0000-00-00 00:00:00","2020-04-10 18:18:14","0000-00-00 00:00:00"
"Dalam Observasi","301","KAB. PONOROGO","NGEBEL","Sempu",""," ","","","","","Dirapatkan","-7.7875257","111.5949223","0000-00-00 00:00:00","2020-04-10 18:20:14","0000-00-00 00:00:00"
"Dalam Observasi","302","KAB. PONOROGO","NGEBEL","Talun",""," ","","","","","Dirapatkan","-7.8193651","111.6435254","0000-00-00 00:00:00","2020-04-10 18:23:20","0000-00-00 00:00:00"
"Dalam Observasi","303","KAB. PONOROGO","NGEBEL","Pupus",""," ","","","","","Dirapatkan","-7.781239","111.6423403","0000-00-00 00:00:00","2020-04-10 18:26:20","0000-00-00 00:00:00"
"Dalam Observasi","304","KAB. PONOROGO","JAMBON"," Jambon","Balai Desa","Ds.  Jambon Kec. Jambon ","6 Orang","Anjarwati Amd keb","082302280025","","","-7,9249525","111,334632","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","305","KAB. PONOROGO","JAMBON"," Srandil","Balai Desa","Ds.  Srandil Kec. Jambon ","7 Orang","Luluk Amd keb","085235044963","","","-7,8630279","111,3749607","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","306","KAB. PONOROGO","JAMBON"," Bulu Lor","Balai Desa","Ds.  Bulu Lor Kec. Jambon ","5 Orang","Siti Rohana amd keb ","081335612602","","","-7,9143987","111,3709107","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","307","KAB. PONOROGO","JAMBON"," Bringinan","Rumah Baca","Ds.  Bringinan Kec. Jambon ","6 Orang","Anita Rahmawati amd keb","082301396966","","","-7,9449433","111,4103232","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","308","KAB. PONOROGO","JAMBON","Menang","Balai Desa","Ds. Menang Kec. Jambon ","8 Orang","Siti mahfudoh","081259231308","","","-7,8728029","111,3806767","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","309","KAB. PONOROGO","JAMBON"," Sendang","Balai Desa","Ds. Sendang Kec. Jambon ","5 Orang","Misini Amd keb","08121709587","","","-7,9299264","111,3996526","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","310","KAB. PONOROGO","JAMBON"," Sidoharjo","Balai Desa","Ds.  Sidoharjo Kec. Jambon ","7 Orang","Vivin Sulistyawati Amd Keb","082335106864","","","-7,9292951","111,3226154","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","311","KAB. PONOROGO","JAMBON"," Jonggol","Balai Desa","Ds.  Jonggol Kec. Jambon ","8 Orang","Emi Soejiati SST","081294560910","","","-7,9423777","111,3670567","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","312","KAB. PONOROGO","JAMBON","Pulosari","Balai Desa","Ds.  Pulosari Kec. Jambon ","6 Orang",".Suyati A.Md.Keb.","081335755564","","","-7.8750152","111.3667633   ","0000-00-00 00:00:00","2020-04-10 19:40:05","0000-00-00 00:00:00"
"Dalam Observasi","313","KAB. PONOROGO","JAMBON"," Krebet","Balai Desa","Ds.  Krebet Kec. Jambon ","6 Orang","Aning srilestari Amd keb","082132628873","","","-7,9119662","111,3612057","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","314","KAB. PONOROGO","JAMBON","Karanglo Kidul","Balai Desa","Ds. Karanglo Kidul ","7 Orang","Muji lestari Amd keb","081335562390","","","-7,9137033","111,3984071","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","315","KAB. PONOROGO","JAMBON","Blembem","Balai Desa","Ds. Blembem Kec. Jambon ","5 Orang","Trisna siamdari amd keb","081359527555","","","-7,8811297","111,3721703","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","316","KAB. PONOROGO","JAMBON","Poko","Balai Desa","Ds. Poko Kec. Jambon ","6 Orang","Atik alfianti Amd keb","085233260119","","","-7,9397127","111,3876122","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","317","KAB. PONOROGO","PUDAK","Pudak Wetan",""," ","","","","","Dirapatkan","-7.8707131","111.7087091","0000-00-00 00:00:00","2020-04-10 19:59:00","0000-00-00 00:00:00"
"Dalam Observasi","318","KAB. PONOROGO","PUDAK","Tambang",""," ","","","","","Dirapatkan","-7.8519935","111.6725153","0000-00-00 00:00:00","2020-04-10 20:04:34","0000-00-00 00:00:00"
"Dalam Observasi","319","KAB. PONOROGO","PUDAK","Banjarejo",""," ","","","","","Dirapatkan","-7.8880557","111.7079261","0000-00-00 00:00:00","2020-04-10 20:15:49","0000-00-00 00:00:00"
"Dalam Observasi","320","KAB. PONOROGO","PUDAK","Pudak Kulon",""," ","","","","","Dirapatkan","-7.846435","111.7125896","0000-00-00 00:00:00","2020-04-10 20:14:00","0000-00-00 00:00:00"
"Dalam Observasi","321","KAB. PONOROGO","PUDAK","Krisik",""," ","","","","","Dirapatkan","-7.8446235","111.7000637","0000-00-00 00:00:00","2020-04-10 20:22:22","0000-00-00 00:00:00"
"Dalam Observasi","322","KAB. PONOROGO","PUDAK","Bareng",""," ","","","","","Dirapatkan","-7.8820536"," 111.6861103","0000-00-00 00:00:00","2020-04-10 20:28:52","0000-00-00 00:00:00"
"Dalam Observasi","323","KOTA MADIUN","TAMAN","Pandean  ","SDN 02 Pandean","Jl. Serayu Kel. Pandean Kec. Taman Kota Madiun ","-","-","","","","-7,6476017","111,5239468","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","324","KOTA MADIUN","TAMAN","Manisrejo","-","- ","-","-","","","","-7.6299754","111.4930318","0000-00-00 00:00:00","2020-04-10 20:32:11","0000-00-00 00:00:00"
"Dalam Observasi","325","KOTA MADIUN","TAMAN","Kejuron","-","- ","-","-","","","","-7.6343207","111.5216256","0000-00-00 00:00:00","2020-04-10 20:42:14","0000-00-00 00:00:00"
"Dalam Observasi","326","KOTA MADIUN","TAMAN","Mojorejo","-","- ","-","-","","","","-7.6371763","111.5293602","0000-00-00 00:00:00","2020-04-10 20:47:31","0000-00-00 00:00:00"
"Dalam Observasi","327","KOTA MADIUN","TAMAN","Demangan  ","SDN 1 Demangan","Jl. Kendali Sodo Kel. Demangan Kota Madiun ","-","-","","","","-7,6589088","111,5199483","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","328","KOTA MADIUN","TAMAN","Banjarejo","SMPN 10 SMPN 14","Jl. Dawuhan Kel. Banjarejo Kec. Taman Kota Madiun ","-","-","","","","-7,6518751","111,5302242","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","329","KOTA MADIUN","TAMAN","Taman","SMPN 14","Jl. Tulus Bakti Kel. Taman Kec. Taman Kota Madiun ","","","","","","-7,6395827","111,5278351","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","330","KOTA MADIUN","TAMAN","Taman","SDN 01 Taman","Jl. Kemiri Kel. Taman Kec. Taman Kota Madiun  ","","","","","","-7,6357081","111,5215001","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","331","KOTA MADIUN","TAMAN","Kuncen",""," ","-","-","","","","-7.6563517","111.5116529","0000-00-00 00:00:00","2020-04-11 08:59:29","0000-00-00 00:00:00"
"Dalam Observasi","332","KOTA MADIUN","TAMAN","Banjarejo",""," ","-","-","","","","-7.6535027","111.5251777","0000-00-00 00:00:00","2020-04-11 09:06:10","0000-00-00 00:00:00"
"Dalam Observasi","333","KOTA MADIUN","TAMAN","Josenan","-","- ","-","-","","","","-7.6546327","111.5070912","0000-00-00 00:00:00","2020-04-11 09:14:03","0000-00-00 00:00:00"
"Dalam Observasi","334","KOTA MADIUN","KARTOHARJO","","-","- ","-","-","","","","-7.6240258","111.5276827","0000-00-00 00:00:00","2020-04-11 09:17:54","0000-00-00 00:00:00"
"Dalam Observasi","335","KOTA MADIUN","KARTOHARJO","Klegen  ","SDN 02 KLEGEN","Jl. Wiyata Wijaya No. 01 ","30 Tempat tidur","Pak Yayak Muflihana","08133568877","","","-7,6275958","111,5346109","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","336","KOTA MADIUN","KARTOHARJO","Kanigoro","-","- ","-","-","","","","-7.6301508","111.5414367","0000-00-00 00:00:00","2020-04-11 09:25:22","0000-00-00 00:00:00"
"Dalam Observasi","337","KOTA MADIUN","KARTOHARJO","Tawangrejo  ","SDN 01 TAWANGREJO","Jl. Tawang Sakti No. 9 ","30 Tempat tidur","Pak Karneli S.Sos","085707966660","","","-7,6037898","111,5426472","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","338","KOTA MADIUN","KARTOHARJO","Kartoharjo","-","- ","-","-","","","","-7.6280208","111.5206036","0000-00-00 00:00:00","2020-04-11 09:31:40","0000-00-00 00:00:00"
"Dalam Observasi","339","KOTA MADIUN","KARTOHARJO","Kelun","-","- ","-","-","","","","-7.6020217","111.5441282","0000-00-00 00:00:00","2020-04-11 09:37:27","0000-00-00 00:00:00"
"Dalam Observasi","340","KOTA MADIUN","KARTOHARJO","Pilangbango  ","SMP N 8 PILANGBANGO","Jl. Pilang Mulya No. 20 ","30 Tempat tidur","P Chusnul","08282234577226","","","-7,6197744","111,5413619","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","341","KOTA MADIUN","KARTOHARJO","Sukosari  ","SDN SUKOSARI","Jl. Sri Linuhung No. 1  ","40 Tempat tidur","Ibu Siti Isnaini","081914830105","","","-7,6150675","111,530647","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","342","KOTA MADIUN","KARTOHARJO","Rejomulyo","-","- ","-","-","","","","-7.6156932","111.5351907","0000-00-00 00:00:00","2020-04-11 10:07:12","0000-00-00 00:00:00"
"Dalam Observasi","343","KOTA MADIUN","MANGUHARJO","Manguharjo","-","- ","-","-","","","","-7.6256561","111.4972302","0000-00-00 00:00:00","2020-04-11 10:15:31","0000-00-00 00:00:00"
"Dalam Observasi","344","KOTA MADIUN","MANGUHARJO","Nambangan Kidul","-","- ","-","-","","","","-7.6424801","111.5162379","0000-00-00 00:00:00","2020-04-14 23:44:36","0000-00-00 00:00:00"
"Dalam Observasi","345","KOTA MADIUN","MANGUHARJO","Nambangan Lor  ","SDN01 Namb Lor","Jl.H.Agus Salim Kel Namb Lor ","10 Orang","085785302340Bpk Sugiono Spd Md ","","","","-7,6344945","111,5149711","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","346","KOTA MADIUN","MANGUHARJO","Madiun Lor  ","SDN 01 Mdn Lor","Jl.Tangkupan Prahu No 01 Kel Madiun Lor ","13 Orang","0811317406Bpk Sugeng.M Spd","","","","-7,6195877","111,5187881","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","347","KOTA MADIUN","MANGUHARJO","Ngegong  ","SDN Ngegong","Jl.Keningar No 13 Ngegong ","12 Orang","081335619719Ibu Khoiroh Spd.","","","","-7,6082847","111,5151351","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","348","KOTA MADIUN","MANGUHARJO","Patihan","-","- ","-","-","","","","-7.6057042","111.5232562","0000-00-00 00:00:00","2020-04-11 10:36:45","0000-00-00 00:00:00"
"Dalam Observasi","349","KOTA MADIUN","MANGUHARJO","Sogaten  ","SMPN 9 Sogaten","Jl.Campursari Kel Sogaten ","15 Orang","0351-454267Ibu Yuni Egawati Spd.Md","","","","-7,610122","111,51876","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","350","KOTA MADIUN","MANGUHARJO","Pangongangan","-","- ","-","-","","","","-7.6267163","111.5113456","0000-00-00 00:00:00","2020-04-11 15:43:07","0000-00-00 00:00:00"
"Dalam Observasi","351","KOTA MADIUN","MANGUHARJO","Winongo","-","- ","-","-","","","","-7.6175196","111.5019977","0000-00-00 00:00:00","2020-04-11 10:55:57","0000-00-00 00:00:00"
"Dalam Observasi","352","KAB. MADIUN","MADIUN","Sirapan","-","- ","-","-","","","","-7.5982221","111.5827297","0000-00-00 00:00:00","2020-04-11 13:40:03","0000-00-00 00:00:00"
"Dalam Observasi","353","KAB. MADIUN","MADIUN","Dempelan","-","- ","-","-","","","","-7.6030977","111.4933195","0000-00-00 00:00:00","2020-04-11 13:44:34","0000-00-00 00:00:00"
"Dalam Observasi","354","KAB. MADIUN","MADIUN","Tulungrejo","-","- ","-","-","","","","-7.5804911","111.5736643","0000-00-00 00:00:00","2020-04-11 13:48:24","0000-00-00 00:00:00"
"Dalam Observasi","355","KAB. MADIUN","MADIUN","Tanjungrejo","-","- ","-","-","","","","-7.5736352","111.5679683","0000-00-00 00:00:00","2020-04-11 13:56:15","0000-00-00 00:00:00"
"Dalam Observasi","356","KAB. MADIUN","MADIUN","Dimong","-","- ","-","-","","","","-7.5907975","111.5826702","0000-00-00 00:00:00","2020-04-11 14:01:09","0000-00-00 00:00:00"
"Dalam Observasi","357","KAB. MADIUN","MADIUN","Sumberejo","-","- ","-","-","","","","-7.5912842","111.5606501","0000-00-00 00:00:00","2020-04-11 14:05:04","0000-00-00 00:00:00"
"Dalam Observasi","358","KAB. MADIUN","MADIUN","Betek","-","- ","-","-","","","","-7.6049706","111.5658927","0000-00-00 00:00:00","2020-04-11 14:09:08","0000-00-00 00:00:00"
"Dalam Observasi","359","KAB. MADIUN","MADIUN","Banjarsari","-","- ","-","-","","","","-7.5814366","111.5409639","0000-00-00 00:00:00","2020-04-11 14:27:53","0000-00-00 00:00:00"
"Dalam Observasi","360","KAB. MADIUN","MADIUN","Sendangrejo","-","- ","-","-","","","","-7.598939","111.5586957","0000-00-00 00:00:00","2020-04-11 14:31:42","0000-00-00 00:00:00"
"Dalam Observasi","361","KAB. MADIUN","MADIUN","Bagi","-","- ","-","-","","","","-7.5580721","111.5302618","0000-00-00 00:00:00","2020-04-11 14:35:14","0000-00-00 00:00:00"
"Dalam Observasi","362","KAB. MADIUN","MADIUN","Tiron","-","- ","-","-","","","","-7.5839902","111.5366208","0000-00-00 00:00:00","2020-04-11 14:39:32","0000-00-00 00:00:00"
"Dalam Observasi","363","KAB. MADIUN","MADIUN","Gunungsari","-","- ","-","-","","","","-7.5729836","111.5390448","0000-00-00 00:00:00","2020-04-11 14:43:20","0000-00-00 00:00:00"
"Dalam Observasi","364","KAB. MADIUN","MADIUN","Nglames","-","- ","-","-","","","","-7.5969746","111.5328242","0000-00-00 00:00:00","2020-04-11 14:46:40","0000-00-00 00:00:00"
"Dalam Observasi","365","KAB. MADIUN","BALEREJO","Kedungrejo","-","- ","-","-","","","","-7.5251537","111.5861202","0000-00-00 00:00:00","2020-04-11 14:49:59","0000-00-00 00:00:00"
"Dalam Observasi","366","KAB. MADIUN","BALEREJO","Garon","-","- ","-","-","","","","-7.5590526","111.5552478","0000-00-00 00:00:00","2020-04-11 14:53:07","0000-00-00 00:00:00"
"Dalam Observasi","367","KAB. MADIUN","BALEREJO","Sumberbening","-","- ","-","-","","","","-7.5474836","111.6136802","0000-00-00 00:00:00","2020-04-10 20:19:39","0000-00-00 00:00:00"
"Dalam Observasi","368","KAB. MADIUN","BALEREJO","Banaran","-","- ","-","-","","","","-7.5192237","111.5722192","0000-00-00 00:00:00","2020-04-11 14:57:13","0000-00-00 00:00:00"
"Dalam Observasi","369","KAB. MADIUN","BALEREJO","Kedungjati","-","- ","-","-","","","","-7.5482104","111.591268","0000-00-00 00:00:00","2020-04-11 09:41:22","0000-00-00 00:00:00"
"Dalam Observasi","370","KAB. MADIUN","BALEREJO","Balerejo","-","- ","-","-","","","","-8.0256537","112.3664955","0000-00-00 00:00:00","2020-04-10 20:27:02","0000-00-00 00:00:00"
"Dalam Observasi","371","KAB. MADIUN","BALEREJO","","-","- ","-","-","","","","-7.5403836","111.6085402","0000-00-00 00:00:00","2020-04-11 14:59:25","0000-00-00 00:00:00"
"Dalam Observasi","372","KAB. MADIUN","BALEREJO","Gading","-","- ","-","-","","","","-7.5693577","111.6011773","0000-00-00 00:00:00","2020-04-11 09:32:58","0000-00-00 00:00:00"
"Dalam Observasi","373","KAB. MADIUN","BALEREJO","Warurejo","-","- ","-","-","","","","-7.544821","111.6018026","0000-00-00 00:00:00","2020-04-11 08:27:42","0000-00-00 00:00:00"
"Dalam Observasi","374","KAB. MADIUN","BALEREJO","Sogo","-","- ","-","-","","","","-7.5316421","111.5470838","0000-00-00 00:00:00","2020-04-10 20:38:25","0000-00-00 00:00:00"
"Dalam Observasi","375","KAB. MADIUN","BALEREJO","Tapelan","-","- ","-","-","","","","-7.5398927","111.62337","0000-00-00 00:00:00","2020-04-11 08:29:37","0000-00-00 00:00:00"
"Dalam Observasi","376","KAB. MADIUN","BALEREJO","Kuwu","-","- ","-","-","","","","-7.7182113","111.5004981","0000-00-00 00:00:00","2020-04-11 08:33:30","0000-00-00 00:00:00"
"Dalam Observasi","377","KAB. MADIUN","BALEREJO","Simo","-","- ","-","-","","","","-7.5111199","111.6037804","0000-00-00 00:00:00","2020-04-11 08:38:04","0000-00-00 00:00:00"
"Dalam Observasi","378","KAB. MADIUN","BALEREJO","Pacinan","-","- ","-","-","","","","-7.5118332","111.5859882","0000-00-00 00:00:00","2020-04-10 20:51:47","0000-00-00 00:00:00"
"Dalam Observasi","379","KAB. MADIUN","BALEREJO","Kebonagung","-","- ","-","-","","","","-7.5731386","111.5886553","0000-00-00 00:00:00","2020-04-10 20:53:44","0000-00-00 00:00:00"
"Dalam Observasi","380","KAB. MADIUN","BALEREJO","Bulakrejo","-","- ","-","-","","","","-7.5453213","111.6301256","0000-00-00 00:00:00","2020-04-11 08:39:54","0000-00-00 00:00:00"
"Dalam Observasi","381","KAB. MADIUN","BALEREJO","Jerukgulung","-","- ","-","-","","","","-7.5590296","111.5982261","0000-00-00 00:00:00","2020-04-11 08:42:23","0000-00-00 00:00:00"
"Dalam Observasi","382","KAB. MADIUN","BALEREJO","Glonggong","-","- ","-","-","","","","-7.7777616","111.5299351","0000-00-00 00:00:00","2020-04-11 08:43:05","0000-00-00 00:00:00"
"Dalam Observasi","383","KAB. MADIUN","JIWAN","Metesih  ","Ponkesdes Metesih","Kantor Ds. Metesih "," 3 Orang","Bidan Dian N  ","085204182006","","","-7,6422466","111,4823758","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","384","KAB. MADIUN","JIWAN","Sukolilo","-","- ","-","-","","","","-7.6256891","111.4567884","0000-00-00 00:00:00","2020-04-10 21:05:55","0000-00-00 00:00:00"
"Dalam Observasi","385","KAB. MADIUN","JIWAN","Ngetrep","-","- ","-","-","","","","-7.5873977","111.4863557","0000-00-00 00:00:00","2020-04-11 09:31:32","0000-00-00 00:00:00"
"Dalam Observasi","386","KAB. MADIUN","JIWAN","Wayut","-","- ","-","-","","","","-7.5966477","111.4909843","0000-00-00 00:00:00","2020-04-10 21:18:58","0000-00-00 00:00:00"
"Dalam Observasi","387","KAB. MADIUN","JIWAN","Teguhan","-","- ","-","-","","","","-7.5988256","111.4727083","0000-00-00 00:00:00","2020-04-10 21:23:43","0000-00-00 00:00:00"
"Dalam Observasi","388","KAB. MADIUN","JIWAN","Bibrik","-","- ","-","-","","","","-7.5802263","111.4963122","0000-00-00 00:00:00","2020-04-11 09:26:22","0000-00-00 00:00:00"
"Dalam Observasi","389","KAB. MADIUN","JIWAN","","-","- ","-","-","","","","-7.6128319","111.4176118","0000-00-00 00:00:00","2020-04-10 21:30:34","0000-00-00 00:00:00"
"Dalam Observasi","390","KAB. MADIUN","JIWAN","Bukur","-","- ","-","-","","","","-7.654545","111.4830792","0000-00-00 00:00:00","2020-04-10 21:33:07","0000-00-00 00:00:00"
"Dalam Observasi","391","KAB. MADIUN","JIWAN","Jiwan","-","- ","-","-","","","","-7.6288717","111.4949216","0000-00-00 00:00:00","2020-04-11 09:25:00","0000-00-00 00:00:00"
"Dalam Observasi","392","KAB. MADIUN","JIWAN","Bedoho","-","- ","-","-","","","","-7.5849776","111.4835239","0000-00-00 00:00:00","2020-04-11 09:23:45","0000-00-00 00:00:00"
"Dalam Observasi","393","KAB. MADIUN","JIWAN","Kwangsen","-","- ","-","-","","","","-7.6029467","111.4812528","0000-00-00 00:00:00","2020-04-11 09:20:46","0000-00-00 00:00:00"
"Dalam Observasi","394","KAB. MADIUN","JIWAN","Grobogan","-","- ","-","-","","","","-7.6134594","111.4948897","0000-00-00 00:00:00","2020-04-11 09:15:03","0000-00-00 00:00:00"
"Dalam Observasi","395","KAB. MADIUN","JIWAN","","-","- ","-","-","","","","-7.6128319","111.4176118","0000-00-00 00:00:00","2020-04-11 07:35:19","0000-00-00 00:00:00"
"Dalam Observasi","396","KAB. MADIUN","JIWAN","","-","- ","-","-","","","","-7.6128319","111.4176118","0000-00-00 00:00:00","2020-04-11 07:39:58","0000-00-00 00:00:00"
"Dalam Observasi","397","KAB. MADIUN","WUNGU","Wungu","-","- ","-","-","","","","-7.6843776","111.6028829","0000-00-00 00:00:00","2020-04-11 07:59:40","0000-00-00 00:00:00"
"Dalam Observasi","398","KAB. MADIUN","WUNGU","Munggut","-","- ","-","-","","","","-7.6565087","111.5391548","0000-00-00 00:00:00","2020-04-11 08:01:51","0000-00-00 00:00:00"
"Dalam Observasi","399","KAB. MADIUN","WUNGU","Bantengan","-","- ","-","-","","","","-7.6415956","111.5508753","0000-00-00 00:00:00","2020-04-11 08:04:16","0000-00-00 00:00:00"
"Dalam Observasi","400","KAB. MADIUN","WUNGU","Mojorayung","-","- ","-","-","","","","-7.6343281","111.5521814","0000-00-00 00:00:00","2020-04-11 08:06:45","0000-00-00 00:00:00"
"Dalam Observasi","401","KAB. MADIUN","WUNGU","Nglanduk","-","- ","-","-","","","","-7.6206087","111.5551978","0000-00-00 00:00:00","2020-04-11 08:09:21","0000-00-00 00:00:00"
"Dalam Observasi","402","KAB. MADIUN","WUNGU","Tempursari","-","- ","-","-","","","","-7.6211559","111.5489882","0000-00-00 00:00:00","2020-04-11 08:11:48","0000-00-00 00:00:00"
"Dalam Observasi","403","KAB. MADIUN","WUNGU","Brumbun","-","- ","-","-","","","","-7.6924889","111.5913518","0000-00-00 00:00:00","2020-04-11 08:14:20","0000-00-00 00:00:00"
